Номер кости песчанки;Полёт;Длина кости, mm;Объем кости(полный "TV"), mm3;Внутренний объем кости, mm3;Доля внутреннего объема кости в полном объеме (Inner_V / TV), %;Объем костной ткани (полный "BV"), mm3;Объем корковой ткани, mm3;Объем трабекулярной ткани , mm3;Доля костной ткани в полном объеме кости (BV/TV), %;Доля трабекулярной ткани во внутреннем объеме кости, %;Доля трабекулярной ткани в полном объеме кости, %;Доля корковой ткани в объеме верхнего эпифиза, %;Доля трабекулярной ткани во внутреннем объеме верхнего эпифиза, %;Медиана по поглощениям корковой ткани верхнего эпифиза, mm-1;Медиана по поглощениям трабекулярной ткани верхнего эпифиза, mm-1;Доля корковой ткани в объеме диафиза, %;Доля трабекулярной ткани во внутреннем объеме диафиза, %;Медиана по поглощениям корковой ткани диафиза, mm-1;Медиана по поглощениям трабекулярной ткани диафиза, mm-1;Доля корковой ткани в объеме нижнего эпифиза, %;Доля трабекулярной ткани во внутреннем объеме нижнего эпифиза, %;Медиана по поглощениям корковой ткани нижнего эпифиза, mm-1;Медиана по поглощениям трабекулярной ткани нижнего эпифиза, mm-1
1;0;14.67;32.55;15.32;47.07;19.27;17.11;2.15;59.20;14.05;6.62;22.97;19.00;0.96;0.77;71.97;0.76;1.32;0.71;58.34;20.86;1.08;0.85
2;0;15.04;38.86;19.51;50.21;22.37;19.34;3.03;57.58;15.52;7.79;23.41;18.70;0.99;0.76;75.13;0.73;1.32;0.90;61.92;21.01;1.08;0.93
3;0;14.99;34.98;18.02;51.52;19.50;16.64;2.84;55.75;15.74;8.11;25.52;22.69;0.86;0.68;61.69;2.56;1.18;0.82;59.25;22.75;0.99;0.77
4;0;16.35;41.72;21.04;50.43;23.88;20.59;3.29;57.24;15.63;7.88;23.87;20.49;0.95;0.73;69.73;1.67;1.29;0.75;60.29;20.27;1.09;0.78
5;0;15.56;37.15;19.43;52.31;20.05;17.46;2.56;53.98;13.16;6.89;22.43;16.77;0.93;0.73;70.53;0.79;1.30;0.84;59.23;14.90;1.08;0.81
6;0;16.40;39.83;19.67;49.37;22.59;19.87;2.68;56.70;13.63;6.73;25.29;18.65;0.97;0.77;68.98;1.26;1.31;0.88;58.75;18.47;1.08;0.88
7;0;16.14;40.32;20.93;51.92;22.05;19.08;2.92;54.68;13.96;7.25;23.10;19.29;0.95;0.76;67.10;1.17;1.31;0.86;57.27;14.39;1.08;0.83
8;0;16.07;41.31;21.32;51.62;22.73;19.71;3.02;55.02;14.14;7.30;22.13;17.93;0.95;0.75;69.95;1.22;1.31;0.90;58.52;19.64;1.06;0.84
9;0;16.50;40.63;19.34;47.60;23.75;20.97;2.78;58.46;14.38;6.84;27.33;19.36;0.99;0.76;70.76;1.74;1.31;0.81;63.73;18.32;1.07;0.83
10;0;15.98;39.92;18.28;45.80;23.94;21.33;2.60;59.96;14.24;6.52;29.36;19.15;0.99;0.77;71.90;1.66;1.32;0.88;64.48;15.58;1.12;0.77
11;0;17.14;44.59;20.08;45.02;24.26;21.66;2.60;54.40;12.93;5.82;23.35;18.27;0.93;0.75;65.35;0.44;1.31;0.91;61.82;17.08;1.06;0.88
12;0;15.44;38.93;19.27;49.50;22.29;19.33;2.96;57.26;15.38;7.61;25.90;19.54;0.97;0.75;72.37;0.35;1.32;0.77;65.13;15.25;1.09;0.84
13;0;15.93;41.91;21.94;52.34;22.72;19.67;3.05;54.22;13.90;7.27;20.90;18.01;0.97;0.75;69.79;1.07;1.32;0.89;56.84;19.28;1.03;0.85
14;0;15.81;35.04;17.52;49.98;19.68;17.25;2.43;56.16;13.85;6.92;23.91;18.96;0.93;0.73;68.98;1.13;1.30;0.86;58.77;15.92;1.07;0.77
15;0;14.86;37.05;19.57;52.82;19.75;17.17;2.55;53.32;13.03;6.89;23.95;16.93;0.93;0.72;65.94;1.46;1.26;0.88;60.01;17.03;1.03;0.79
16;1;15.18;37.83;21.17;55.95;19.08;16.25;2.84;50.44;13.40;7.50;19.07;18.83;0.85;0.68;60.14;1.62;1.24;0.84;54.55;19.97;0.98;0.76
17;1;15.67;36.13;19.55;54.11;18.79;16.29;2.50;52.01;12.77;6.91;20.95;18.37;0.89;0.72;61.67;1.29;1.26;0.85;57.90;18.95;1.04;0.79
18;1;16.01;38.52;19.93;51.74;21.04;18.27;2.77;54.62;13.92;7.20;22.82;20.57;0.91;0.73;63.58;1.14;1.29;0.85;59.95;15.63;1.08;0.81
19;1;15.34;40.75;23.69;58.14;19.88;16.64;3.24;48.77;13.66;7.94;18.67;19.30;0.85;0.69;56.79;1.53;1.26;0.88;53.17;18.53;1.03;0.79
20;1;15.12;35.48;19.33;54.48;18.61;15.83;2.78;52.46;14.39;7.84;19.93;20.65;0.88;0.71;61.59;1.29;1.27;0.86;54.80;20.36;1.02;0.79
21;1;15.21;36.44;20.92;57.41;17.88;15.14;2.74;49.07;13.09;7.52;19.81;18.80;0.88;0.71;57.29;1.52;1.27;0.89;50.94;17.85;1.01;0.78
22;1;15.46;35.88;19.82;55.24;18.30;15.69;2.49;51.01;12.56;6.94;21.41;17.54;0.91;0.72;60.37;1.17;1.29;0.89;55.69;18.03;1.05;0.81
23;1;15.83;42.05;23.59;56.10;21.24;18.02;3.22;50.51;13.66;7.66;19.69;20.40;0.90;0.73;57.67;1.76;1.27;0.89;52.65;20.10;1.02;0.82
24;1;16.06;39.70;22.15;55.78;20.01;17.18;2.83;50.40;12.76;7.12;18.16;18.17;0.91;0.72;61.51;1.22;1.27;0.90;50.77;19.96;1.02;0.83
25;1;15.59;40.22;23.42;58.23;19.67;16.40;3.24;48.89;13.83;8.05;20.01;18.91;0.89;0.71;57.77;2.23;1.24;0.91;50.16;17.77;1.01;0.79
26;1;15.88;37.60;18.91;50.29;20.77;18.14;2.58;55.24;13.63;6.85;23.59;19.83;0.91;0.74;64.98;1.09;1.28;0.86;61.74;17.42;1.05;0.78
27;1;15.40;36.52;20.07;54.95;18.58;16.14;2.43;50.87;12.13;6.67;20.84;17.11;0.88;0.69;61.11;1.26;1.25;0.84;55.72;19.34;1.00;0.77
